run_count,bootstrap_p2_5_peak_kw,bootstrap_mean_peak_kw,bootstrap_p97_5_peak_kw,bootstrap_samples,bootstrap_seed
35,6.420706490857143,7.5207568052186575,9.300384968857141,5000,42
36,6.420033610357144,7.520556152297194,9.30325615202381,5000,42
37,6.419488856857144,7.521139298703209,9.308642604190474,5000,42
38,6.4185912716904765,7.521601797332142,9.313957850523808,5000,42
39,6.418068796190476,7.521925894088068,9.316542214190475,5000,42
40,6.41750332502381,7.522087686975087,9.31936159585714,5000,42
41,6.4169063361904755,7.522207327771217,9.323364702857143,5000,42
42,6.416064231190476,7.522131462317463,9.330350287357144,5000,42
43,6.415350988190476,7.522496040511306,9.337871470190475,5000,42
44,6.414406714190476,7.522401769098203,9.34398013635714,5000,42
45,6.413732369523809,7.522200770145472,9.348048624190476,5000,42
46,6.413359840357143,7.52228297879263,9.352391142023809,5000,42
47,6.412851650523809,7.5224006111688695,9.358385050857143,5000,42
48,6.412455743023809,7.522539845482893,9.364401044357141,5000,42
49,6.41207327752381,7.522700727198503,9.36980166952381,5000,42
50,6.411549509857143,7.522557296013693,9.37415173002381,5000,42
51,6.411141367857142,7.5225410352709385,9.377861431190476,5000,42
52,6.410750153357142,7.5226333733926305,9.381516047690477,5000,42
53,6.410237259523809,7.522807162827834,9.38724032085714,5000,42
54,6.409735961190476,7.522897476666103,9.39297848935714,5000,42
55,6.409299725523809,7.522984931740104,9.395841266857143,5000,42
56,6.40891992702381,7.522465098487588,9.396997630357143,5000,42
57,6.408465998857143,7.522310037618008,9.400702052190478,5000,42
58,6.408085061023809,7.522631012750292,9.404103603023808,5000,42
59,6.407611766190477,7.522662043227765,9.408430357523809,5000,42
60,6.407427454690476,7.522636217973226,9.411569748190475,5000,42
61,6.4070953628571425,7.522804002358897,9.414316322857141,5000,42
62,6.40681231752381,7.522647187660222,9.415900768857142,5000,42
63,6.406564452857143,7.5227749454816735,9.417523732857141,5000,42
64,6.40633787152381,7.522643557764904,9.418949240523808,5000,42
65,6.40595834552381,7.522280109893518,9.420130122857142,5000,42
66,6.4056226870238095,7.522272604519102,9.421556730357143,5000,42
67,6.405357767190476,7.522301984519603,9.42409092785714,5000,42
68,6.405040217023809,7.522222599661723,9.42595634752381,5000,42
69,6.404743630857143,7.522178504476122,9.427444513523808,5000,42
70,6.404543571857143,7.5220609568165075,9.428416161690473,5000,42
71,6.404374092857143,7.522366452605827,9.430430681190476,5000,42
72,6.404162372190476,7.522406739021211,9.432891930523807,5000,42
73,6.403876205523809,7.522369792868798,9.434584808190477,5000,42
74,6.403712044190476,7.522275711600311,9.436219051523809,5000,42
75,6.403592161857143,7.522140790345246,9.439273466857141,5000,42
76,6.4034967995238095,7.522270315418033,9.440349608690475,5000,42
77,6.403260364190476,7.522151183417399,9.441426058857141,5000,42
78,6.402980265857143,7.522080313304649,9.443400083857144,5000,42
79,6.402861134857143,7.522242683635492,9.446229176857141,5000,42
80,6.4026780985238085,7.5223719706876055,9.44676424335714,5000,42
81,6.402416036190476,7.522274913616999,9.44725652952381,5000,42
82,6.402235506857144,7.522458841689436,9.450268128857141,5000,42
83,6.402028102857144,7.522327319909158,9.453255451857144,5000,42
84,6.4018126815238094,7.522267680893877,9.454396182190475,5000,42
85,6.401617739523809,7.522334461619936,9.457537414190474,5000,42
86,6.401502437857142,7.522415126590115,9.460042712857144,5000,42
87,6.401312278857143,7.522657090279007,9.461591607857143,5000,42
88,6.401189080357143,7.522677703512057,9.464169833023812,5000,42
89,6.401035534857143,7.522624448904465,9.46520668152381,5000,42
