case_dir,case_type,dwelling_id,run,run_optimal,annual_gas_kwh
agile_hybrid_EV_0kW_offset2p0h,hybrid,40,3,True,7165.332655302197
agile_hybrid_EV_0kW_offset2p0h,hybrid,40,4,True,7186.564793380059
agile_hybrid_EV_0kW_offset2p0h,hybrid,40,5,True,7151.952653433114
agile_hybrid_EV_0kW_offset2p0h,hybrid,43,1,True,10919.175623792724
agile_hybrid_EV_0kW_offset2p0h,hybrid,43,2,True,11054.845166422116
agile_hybrid_EV_0kW_offset2p0h,hybrid,43,3,True,11116.629334634541
agile_hybrid_EV_0kW_offset2p0h,hybrid,43,4,True,11016.39031889836
agile_hybrid_EV_0kW_offset2p0h,hybrid,43,5,True,10997.7698869496
agile_hybrid_EV_0kW_offset2p0h,hybrid,44,1,True,28158.2251086083
agile_hybrid_EV_0kW_offset2p0h,hybrid,44,2,True,28066.818362826732
agile_hybrid_EV_0kW_offset2p0h,hybrid,44,3,True,27891.280953869842
agile_hybrid_EV_0kW_offset2p0h,hybrid,44,4,True,28095.377752172088
agile_hybrid_EV_0kW_offset2p0h,hybrid,44,5,True,27953.34130083245
agile_hybrid_EV_0kW_offset2p0h,hybrid,46,1,True,6087.184065947719
agile_hybrid_EV_0kW_offset2p0h,hybrid,46,2,True,6155.487764509419
agile_hybrid_EV_0kW_offset2p0h,hybrid,46,3,True,6262.388781594022
agile_hybrid_EV_0kW_offset2p0h,hybrid,46,4,True,6097.288973079556
agile_hybrid_EV_0kW_offset2p0h,hybrid,46,5,True,6219.099731046255
agile_hybrid_EV_0kW_offset2p0h,hybrid,56,2,True,5185.236333154655
agile_hybrid_EV_0kW_offset2p0h,hybrid,57,1,True,5710.387219205351
