run,peak_kw,running_mean_kw
481,536.9763793945312,539.401962058212
482,531.06005859375,539.3846602697096
483,565.3277587890625,539.438373447205
484,557.29833984375,539.475271177686
485,530.37939453125,539.4565077319587
486,557.3972778320312,539.4934413580247
487,536.1043701171875,539.4864604722793
488,538.7674560546875,539.4850153688525
489,541.8486328125,539.4898389570552
490,519.1810913085938,539.4484056122449
491,520.57080078125,539.4099414460285
492,544.5919189453125,539.4204776422764
493,511.0254211425781,539.3628930020284
494,516.626220703125,539.3168648785426
495,542.3682861328125,539.3230429292929
496,546.1986083984375,539.3368825604839
497,528.5473022460938,539.315203722334
498,562.5161743164062,539.3618222891566
499,532.66552734375,539.3483842685371
500,562.6221923828125,539.3949375
