ev_penetration,hhp_percentage,mhp_percentage,boiler_percentage,valid_mix,n_dwellings,n_ev_homes,n_hhp_homes,n_mhp_homes,n_boiler_homes,mc_runs_per_pixel,dt_hours,co2_kg_per_kwh,annual_gas_mean_kwh,annual_gas_std_kwh,annual_gas_p50_kwh,annual_gas_p90_kwh,annual_gas_p95_kwh,annual_gas_max_kwh,annual_gas_min_kwh,annual_co2_mean_kg,annual_co2_std_kg,annual_co2_p50_kg,annual_co2_p90_kg,annual_co2_p95_kg,annual_co2_max_kg,annual_co2_min_kg
0.0,0.30000000000000004,0.5,0.19999999999999996,True,147,0,44,74,29,100,0.5,0.183,445535.00162907614,26098.365599566954,444964.30585349223,475480.2282848194,497303.55525628163,517051.88047545793,393830.0046283122,81532.90529812091,4776.000904720753,81428.46797118908,87012.88177612195,91006.55061189953,94620.4941270088,72070.89084698113
0.0,0.30000000000000004,0.55,0.1499999999999999,True,147,0,44,81,22,100,0.5,0.183,368466.4296417945,24724.085304514607,371816.5407984181,399799.4263271254,408949.0765328635,424544.0184543516,313780.38077260647,67429.35662444838,4524.507610726173,68042.4269661105,73163.29501786396,74837.68100551401,77691.55537714633,57421.809681386985
0.0,0.30000000000000004,0.6000000000000001,0.09999999999999987,True,147,0,44,88,15,100,0.5,0.183,291605.0895824233,21891.585548611038,291748.22703274374,318681.4772768638,327809.85916811816,338549.17762395885,238973.20214653795,53363.73139358346,4006.1601553958203,53389.925546992105,58318.71034166608,59989.204227765615,61954.49950518447,43732.095992816445
0.0,0.30000000000000004,0.65,0.04999999999999993,True,147,0,44,96,7,100,0.5,0.183,205459.15492316504,16791.628783715703,204520.72268921568,227955.40650975096,231288.2056329715,258696.54856527242,172412.6653662055,37599.02535093919,3072.868067419973,37427.29225212647,41715.839391284426,42325.741630833785,47341.46838744485,31551.517762015606
0.0,0.30000000000000004,0.7000000000000001,0.0,True,147,0,44,103,0,100,0.5,0.183,127684.4009803493,13189.22379043526,127812.04076578193,147169.57961667885,150109.0354890761,156252.02992267118,98281.10343943196,23366.24537940392,2413.6279536496527,23389.603460138092,26932.033069852227,27469.953494500925,28594.121475848824,17985.441929416047
0.0,0.35000000000000003,0.0,0.6499999999999999,True,147,0,51,0,96,100,0.5,0.183,1192427.2245097696,21313.17673941966,1195796.8953781324,1215481.34943208,1225876.49148508,1234325.865883191,1135376.8582720498,218214.18208528784,3900.3113433137983,218830.83185419822,222433.08694607066,224335.39794176965,225881.63345662397,207773.96506378512
0.0,0.35000000000000003,0.05,0.5999999999999999,True,147,0,51,7,89,100,0.5,0.183,1117714.5314415153,25287.13022301459,1117728.3392954296,1148022.5864098992,1154627.3878727984,1185165.0796453801,1042426.6437484636,204541.7592537973,4627.544830811669,204544.28609106364,210088.13331301152,211296.8119807221,216885.20957510456,190764.07580596884
0.0,0.35000000000000003,0.1,0.5499999999999999,True,147,0,51,15,81,100,0.5,0.183,1031225.5048885185,26905.846727805398,1028619.3159392837,1062393.0546297752,1075272.3328862747,1098237.7805609982,959021.7020183399,188714.26739459884,4923.769951188389,188237.3348168889,194417.92899724888,196774.83691818826,200977.51384266268,175500.97146935618
0.0,0.35000000000000003,0.15000000000000002,0.4999999999999999,True,147,0,51,22,74,100,0.5,0.183,950277.0260538803,27868.32655497074,949069.3661811738,985655.0023786294,995020.5756797249,1010084.8317231119,889216.6501958981,173900.6957678601,5099.903759559645,173679.69401115482,180374.86543528916,182088.76534938967,184845.52420532948,162726.64698584937
0.0,0.35000000000000003,0.2,0.4499999999999999,True,147,0,51,29,67,100,0.5,0.183,877247.5687847647,24899.247239802327,877791.059512971,909588.8000825098,914315.1312128367,936498.9789567379,819562.7962701746,160536.30508761192,4556.562244883826,160635.7638908737,166454.7504150993,167319.6690119491,171379.31314908303,149979.99171744194
