run_count,bootstrap_p2_5_peak_kw,bootstrap_mean_peak_kw,bootstrap_p97_5_peak_kw,bootstrap_samples,bootstrap_seed
335,357.6349355023193,377.91918894922946,400.44524153747557,5000,42
336,357.63579125061034,377.91904949635205,400.4442157394409,5000,42
337,357.6371516516113,377.9193287212079,400.44571941772455,5000,42
338,357.6349932792664,377.91876281554045,400.44747399414064,5000,42
339,357.635418258667,377.9187965576532,400.44950392364507,5000,42
340,357.6357126170349,377.9191790162211,400.45172202865604,5000,42
341,357.63770770568846,377.91956464607426,400.4548030029297,5000,42
342,357.6390850460815,377.9197587654703,400.45626042449953,5000,42
343,357.638170657959,377.919948151792,400.4608089230347,5000,42
344,357.63866682647705,377.92023723723025,400.4622570355225,5000,42
345,357.63736991699216,377.91958401316043,400.46335197143554,5000,42
346,357.6354401390076,377.9196060425513,400.4641071357727,5000,42
347,357.63512226226806,377.91955073418075,400.46423865936276,5000,42
348,357.63293306655885,377.9185836162002,400.4636970716858,5000,42
349,357.63167023986813,377.9183227432381,400.4639137561036,5000,42
350,357.63116929534914,377.9175690283729,400.4660404231262,5000,42
351,357.6314935241699,377.9177070583773,400.46470471038816,5000,42
352,357.6326939543152,377.9179347774331,400.46677679870606,5000,42
353,357.63287411376956,377.9183192235684,400.4651794152832,5000,42
354,357.63247869705197,377.9183067670232,400.4642762576294,5000,42
355,357.6324086099243,377.91880453180016,400.4639094100952,5000,42
356,357.63387204208374,377.9191571993349,400.46798173217775,5000,42
357,357.635225814209,377.9190004058402,400.46657597534175,5000,42
358,357.63588995224,377.91837167225344,400.4668869354248,5000,42
359,357.6371355197143,377.918422197023,400.46714235626223,5000,42
360,357.638179440155,377.9187509374663,400.4681314581299,5000,42
361,357.63902388305667,377.91874886588,400.4663022338867,5000,42
362,357.63812628463745,377.9182095582232,400.4713883413696,5000,42
363,357.6376008618164,377.9179756311838,400.4706160327149,5000,42
364,357.63755480270385,377.91797407793376,400.471047127533,5000,42
365,357.6370883374023,377.91796482503696,400.47194333740237,5000,42
366,357.635727431488,377.9177155787741,400.4720411949158,5000,42
367,357.6358446969604,377.91767012295804,400.47546118560786,5000,42
368,357.6356995988464,377.91843934639655,400.47580941329954,5000,42
369,357.63304574829095,377.9185963170004,400.4763832580566,5000,42
370,357.6337842407227,377.91865600825133,400.4795623202515,5000,42
371,357.63419906158447,377.91831955276893,400.47919570007326,5000,42
372,357.6328078199768,377.91845846634874,400.4802249917602,5000,42
373,357.6311828845215,377.9181068157278,400.47853836669924,5000,42
374,357.6300011932373,377.9183809849709,400.48008577423093,5000,42
375,357.6285469708252,377.91796814052753,400.4801974047852,5000,42
376,357.6278944763184,377.9189017390476,400.48261516571046,5000,42
377,357.6274694958496,377.91941213827374,400.48311366699215,5000,42
378,357.62687299377444,377.9192717215881,400.4831830619812,5000,42
379,357.62649431762696,377.9193743905184,400.4824395700074,5000,42
380,357.6264944876099,377.9191599893018,400.48289423233035,5000,42
381,357.6253264068603,377.91925167260547,400.4856925354004,5000,42
382,357.62449646118165,377.9187301730646,400.4862085922241,5000,42
383,357.6241444161987,377.9185300350507,400.483742550354,5000,42
384,357.62417874176026,377.91873796844425,400.4835233824158,5000,42
385,357.6239804650879,377.9194421524968,400.4842779162597,5000,42
386,357.6250711853027,377.9194557977377,400.4861593467712,5000,42
387,357.62475390655516,377.91989997590275,400.486335050354,5000,42
388,357.62607988296503,377.9200520543058,400.48544260787963,5000,42
389,357.6258195666504,377.9203791412906,400.4898703723145,5000,42
390,357.62488381149296,377.9203210650013,400.49102135253906,5000,42
391,357.6251834289551,377.9206974036182,400.4908865661621,5000,42
392,357.6234660411071,377.92130896330883,400.49199288314816,5000,42
393,357.6231796936035,377.92162214060477,400.49360022705076,5000,42
394,357.6232318572998,377.92123467012175,400.49493998199466,5000,42
395,357.62391720733643,377.92114347764436,400.4905536740112,5000,42
396,357.6247350021362,377.92091289287464,400.4892669128418,5000,42
397,357.6255854455566,377.92060896484895,400.4876078991699,5000,42
398,357.62360311950687,377.9208682761039,400.4889613568115,5000,42
399,357.6236552893066,377.92190117412434,400.49123099334713,5000,42
400,357.6244443247986,377.9220703960269,400.4891908430481,5000,42
401,357.6236871459961,377.9220950105356,400.4861346862793,5000,42
402,357.6213355688476,377.9226811298428,400.49082589920044,5000,42
403,357.6202399468994,377.9224721103114,400.49132870483396,5000,42
404,357.61799525283817,377.9224941905099,400.4929074324036,5000,42
405,357.61751825805663,377.92229016722126,400.4936334277344,5000,42
406,357.6174866981506,377.92253499437174,400.4964968101501,5000,42
407,357.61756618011475,377.92280061915324,400.4978223440552,5000,42
408,357.61717230636594,377.92295896756053,400.498912406311,5000,42
409,357.61563167968745,377.9222539066078,400.4982102746582,5000,42
410,357.61612186447144,377.9218880760219,400.49733928283695,5000,42
411,357.6168353668213,377.9221655415705,400.4978691040039,5000,42
412,357.61649368331905,377.92147813049746,400.4978411494445,5000,42
413,357.61604102539064,377.9215501727304,400.5011088531494,5000,42
414,357.6161212287903,377.9223129149506,400.50210181991577,5000,42
415,357.6170895944214,377.92242678593254,400.50317170715334,5000,42
416,357.61674148025514,377.9229214920194,400.50510285720827,5000,42
417,357.6174724084472,377.9225686646537,400.5032393432617,5000,42
418,357.6173068942261,377.92261687854193,400.5037428851318,5000,42
