ev_penetration,hhp_percentage,n_dwellings,n_ev_homes,n_hhp_homes,mc_runs_per_pixel,max_demand_mean_kw,max_demand_std_kw,max_demand_p50_kw,max_demand_p90_kw,max_demand_p95_kw,max_demand_max_kw,max_demand_min_kw
1.0,0.26,147,147,38,500,571.6632690429688,16.924577713012695,570.4439392089844,594.6524291992188,600.9300018310547,626.2481689453125,527.68798828125
0.0,0.28,147,0,41,500,287.3436279296875,4.3031721115112305,287.59661865234375,292.1154296875,294.0667007446289,301.50372314453125,266.21661376953125
0.02,0.28,147,3,41,500,294.8265075683594,5.03746223449707,294.9848937988281,301.4497802734375,303.04785003662107,309.56512451171875,277.6435852050781
0.04,0.28,147,6,41,500,301.4997253417969,5.774983882904053,301.5402374267578,309.13026123046876,311.1309387207031,318.4935607910156,282.38153076171875
0.06,0.28,147,9,41,500,308.18731689453125,6.324409484863281,308.5821838378906,315.9093780517578,318.36851501464844,334.13531494140625,287.2340087890625
0.08,0.28,147,12,41,500,314.11285400390625,6.819588661193848,314.2527313232422,322.25351867675784,325.27855224609374,343.7520751953125,295.54345703125
0.1,0.28,147,15,41,500,321.0298767089844,6.938336372375488,320.90911865234375,329.9191162109375,332.663996887207,341.85748291015625,297.1533203125
0.12,0.28,147,18,41,500,327.5860595703125,7.4833245277404785,326.9629669189453,336.9678527832031,340.4175262451172,349.9814147949219,305.7020263671875
0.14,0.28,147,21,41,500,333.1033630371094,8.197317123413086,332.77630615234375,343.6867401123047,346.495426940918,363.5280456542969,309.1493225097656
0.16,0.28,147,24,41,500,339.59283447265625,8.7031888961792,339.17108154296875,350.945947265625,354.05190429687497,369.76953125,315.906982421875
0.18,0.28,147,26,41,500,343.6683654785156,8.569987297058105,343.04254150390625,354.93812561035156,358.27441253662107,369.10760498046875,317.2383728027344
0.2,0.28,147,29,41,500,349.30694580078125,8.835442543029785,348.44007873535156,360.61943359375,365.2230758666992,380.59027099609375,326.93896484375
0.22,0.28,147,32,41,500,355.68218994140625,9.859171867370605,355.67750549316406,368.8716979980469,372.7639678955078,385.7452087402344,329.91265869140625
0.24,0.28,147,35,41,500,361.36981201171875,9.912666320800781,360.3290252685547,374.0488616943359,378.70736541748045,397.5358581542969,334.31744384765625
0.26,0.28,147,38,41,500,366.37261962890625,10.047198295593262,365.8365478515625,378.2030975341797,383.56074676513674,401.25146484375,339.2275695800781
0.28,0.28,147,41,41,500,372.4224548339844,10.584053993225098,371.56080627441406,385.7426391601563,389.5535491943359,410.7009582519531,345.28240966796875
0.3,0.28,147,44,41,500,378.14837646484375,10.193764686584473,377.5965118408203,392.2523681640625,396.5637939453125,415.811767578125,349.7140808105469
0.32,0.28,147,47,41,500,384.0166015625,10.766313552856445,383.16004943847656,399.3536773681641,404.2649932861328,420.34259033203125,354.4262390136719
0.34,0.28,147,50,41,500,389.16717529296875,10.896076202392578,388.38710021972656,403.84129638671874,408.44564666748045,424.8656005859375,360.4413757324219
0.36,0.28,147,53,41,500,394.9533386230469,11.686188697814941,394.2460632324219,410.4499206542969,415.49208984374997,430.9178466796875,365.86083984375
0.38,0.28,147,56,41,500,401.6209411621094,11.723939895629883,401.0267028808594,416.7010192871094,420.5091873168945,445.5634460449219,372.4064025878906
0.4,0.28,147,59,41,500,406.9082946777344,11.929868698120117,406.08367919921875,422.6640869140625,427.7749389648437,443.1794128417969,380.258056640625
0.42,0.28,147,62,41,500,413.1838073730469,12.032140731811523,413.1204528808594,428.7523162841797,434.3661376953125,458.13067626953125,384.65301513671875
0.44,0.28,147,65,41,500,419.1775207519531,12.305986404418945,418.4452362060547,434.6974822998047,440.39137573242186,462.3797607421875,386.197998046875
0.46,0.28,147,68,41,500,423.48382568359375,12.76520824432373,423.0664978027344,440.72141418457034,445.25246582031247,465.42938232421875,388.5877685546875
0.48,0.28,147,71,41,500,430.0693664550781,12.401369094848633,429.4726104736328,446.63804016113284,449.86060943603513,471.0232849121094,398.257080078125
0.5,0.28,147,74,41,500,435.71820068359375,13.463789939880371,435.18194580078125,454.24781799316406,459.6421875,480.1107177734375,398.8431701660156
0.52,0.28,147,76,41,500,438.91265869140625,13.195542335510254,438.0537414550781,455.6806365966797,460.8642379760742,488.235595703125,395.46966552734375
0.54,0.28,147,79,41,500,444.66986083984375,14.19426155090332,443.6423034667969,463.62730102539064,468.5363494873047,506.2947692871094,408.9925537109375
0.56,0.28,147,82,41,500,451.2500305175781,14.359644889831543,449.7175750732422,470.2458923339844,475.59044952392577,501.0135498046875,407.8736877441406
0.58,0.28,147,85,41,500,455.27587890625,13.87384033203125,453.74853515625,473.07744750976565,479.6766098022461,505.8330078125,421.118896484375
0.6,0.28,147,88,41,500,461.79681396484375,14.005867004394531,460.4659118652344,480.45216979980466,485.66503753662107,503.9583740234375,425.4609069824219
0.62,0.28,147,91,41,500,466.4532775878906,13.770842552185059,465.9616394042969,484.4248382568359,490.41724090576173,509.70501708984375,422.7062683105469
0.64,0.28,147,94,41,500,472.41156005859375,14.0894136428833,471.39288330078125,490.8115966796875,497.8982940673828,519.8877563476562,438.26995849609375
0.66,0.28,147,97,41,500,477.7327880859375,15.535140991210938,477.2681579589844,498.9651580810547,503.31848907470703,533.60498046875,428.3604736328125
0.68,0.28,147,100,41,500,484.2248840332031,14.876492500305176,483.15789794921875,505.04847717285156,512.8205078125,531.6937866210938,448.11395263671875
0.7000000000000001,0.28,147,103,41,500,491.0068054199219,16.136262893676758,490.72544860839844,511.7878326416016,518.4421081542968,555.9793090820312,443.4880676269531
0.72,0.28,147,106,41,500,493.7510070800781,14.137651443481445,493.8493347167969,511.95380249023435,516.9533599853515,544.57080078125,455.9952087402344
0.74,0.28,147,109,41,500,499.45709228515625,14.77802848815918,498.1737060546875,518.6304077148437,525.8900360107422,565.819091796875,460.7445068359375
0.76,0.28,147,112,41,500,506.2125244140625,15.397294044494629,506.0688171386719,525.7965759277344,531.7863494873047,566.7837524414062,462.42431640625
0.78,0.28,147,115,41,500,511.0002136230469,15.924442291259766,509.87171936035156,530.9723815917969,539.5685363769531,568.3450927734375,473.8292236328125
0.8,0.28,147,118,41,500,516.7168579101562,15.094804763793945,516.3344116210938,534.7561950683594,543.7838073730468,560.123291015625,465.554931640625
0.8200000000000001,0.28,147,121,41,500,521.181884765625,16.217832565307617,519.7358703613281,542.5239685058593,548.1515380859374,592.7197265625,482.40728759765625
0.84,0.28,147,123,41,500,525.8378295898438,15.696297645568848,524.9969482421875,545.006689453125,552.4972320556641,582.20263671875,488.2884216308594
0.86,0.28,147,126,41,500,532.6178588867188,16.088214874267578,532.0317993164062,553.5165588378907,560.5066802978515,583.1681518554688,490.17626953125
0.88,0.28,147,129,41,500,537.65283203125,16.691505432128906,537.1172485351562,560.1430786132812,566.4745788574219,599.4666137695312,494.4404296875
0.9,0.28,147,132,41,500,542.6444702148438,16.531221389770508,542.4095764160156,563.8042236328125,571.4896209716796,596.51806640625,492.95745849609375
0.92,0.28,147,135,41,500,547.0066528320312,16.628637313842773,546.1846313476562,569.1198608398438,574.9747833251953,605.6710205078125,495.7462158203125
0.9400000000000001,0.28,147,138,41,500,553.9686279296875,16.524097442626953,553.4740600585938,574.8604736328125,582.6267456054687,610.454345703125,517.14306640625
0.96,0.28,147,141,41,500,559.2470092773438,17.490983963012695,557.8122253417969,582.6125610351562,589.4506408691406,614.8707275390625,516.2195434570312
0.98,0.28,147,144,41,500,565.1992797851562,18.77507972717285,563.7905578613281,589.5560607910156,598.9748352050781,632.4286499023438,524.4810791015625
1.0,0.28,147,147,41,500,570.1905517578125,18.32417869567871,569.7193298339844,594.7344299316406,601.0658905029297,629.652587890625,525.9300537109375
0.0,0.3,147,0,44,500,284.7271728515625,4.714776992797852,284.6055603027344,290.1695556640625,292.1973190307617,305.3216552734375,269.3302001953125
0.02,0.3,147,3,44,500,291.99481201171875,4.920520305633545,291.9631042480469,297.9665985107422,299.88423614501954,306.3935546875,275.98211669921875
0.04,0.3,147,6,44,500,298.65447998046875,5.55794095993042,298.7919921875,305.3966125488281,307.1349182128906,316.36297607421875,283.81121826171875
0.06,0.3,147,9,44,500,305.3467712402344,6.241539001464844,305.2188262939453,313.1057495117188,315.5744888305664,329.2161560058594,289.25799560546875
0.08,0.3,147,12,44,500,312.123291015625,6.53516960144043,312.2928771972656,320.73162841796875,322.65497741699215,331.38043212890625,291.74139404296875
0.1,0.3,147,15,44,500,318.6348876953125,6.870616912841797,318.2372741699219,327.9314849853516,330.2513000488281,341.5747985839844,297.0220947265625
0.12,0.3,147,18,44,500,324.5943298339844,7.608222484588623,324.30206298828125,334.7444274902344,337.9267379760742,350.8136901855469,299.7289123535156
0.14,0.3,147,21,44,500,330.3606262207031,7.993031024932861,329.46099853515625,340.0287292480469,344.7898544311523,365.3055419921875,305.87335205078125
0.16,0.3,147,24,44,500,336.8215026855469,8.563045501708984,336.357421875,348.7109649658203,352.2482147216797,363.8360595703125,312.1197204589844
0.18,0.3,147,26,44,500,340.5490417480469,8.407893180847168,340.25885009765625,351.63629455566405,354.9868499755859,370.19415283203125,320.4423828125
0.2,0.3,147,29,44,500,346.6025085449219,8.187081336975098,346.20909118652344,357.11537170410156,361.7801513671875,373.8064270019531,328.0928039550781
