Dwelling ID,Device(HHP/mHP+capacity),Tariff Type,Weather(mild/extreme),Peak Electricity Consumption (Feb 11) 1600-1900,Total Electricity Consumption (Feb10-12),Total gas Consumption (Feb10-12),R(K/W),C(J/K),g(m^2)
EOH0818,HHP 4 kW,Time-of-use,mild,0.0,31.777,0.0,0.0096358787172842,18847554.03027045,2.770916913905096
EOH0822,HHP 4 kW,Time-of-use,mild,0.0,44.514,0.0,0.0067504735876101,42776656.7306631,3.392596212304283
EOH0830,HHP 4 kW,Time-of-use,mild,0.0,62.889,15.644,0.0048845075926439,35056034.46025532,1.001206221894964e-06
EOH0836,HHP 4 kW,Time-of-use,mild,0.0,35.38,0.0,0.0081629030143908,41801310.46119342,4.38998484533483
EOH0837,HHP 4 kW,Time-of-use,mild,0.0,59.561,0.0,0.0050144402385379,66290287.52399858,5.302315852569045
EOH0851,HHP 4 kW,Time-of-use,mild,0.0,37.002,0.0,0.0087542961163885,23689828.018735223,0.3813365171795979
EOH0857,HHP 4 kW,Time-of-use,mild,0.0,49.115,0.0,0.0066356585889462,41163843.5277964,1.0090503524873155e-06
EOH0876,HHP 4 kW,Time-of-use,mild,0.0,43.045,0.0,0.0065325525096182,106434294.52047956,6.209419327861087
EOH0889,HHP 4 kW,Time-of-use,mild,0.0,24.138,0.0,0.0121160973662791,21703171.18914486,1.4061350463309898
EOH0894,HHP 4 kW,Time-of-use,mild,0.0,57.775,7.479,0.0047237140430674,43034539.06792752,8.465355329887554
EOH0896,HHP 4 kW,Time-of-use,mild,0.0,62.652,9.007,0.0048296051170751,83843993.56495051,2.019244333910485
EOH0901,HHP 4 kW,Time-of-use,mild,0.0,55.718,0.0,0.0058716774887528,36935148.31765024,1.0004775399034648e-06
EOH0904,HHP 4 kW,Time-of-use,mild,0.0,22.3,0.0,0.0140511595230814,26010810.406985413,1.0000239319874075e-06
EOH0918,HHP 4 kW,Time-of-use,mild,0.0,48.166,0.0,0.0067438703880748,37102663.768778674,0.1518401740624
EOH0922,HHP 4 kW,Time-of-use,mild,0.0,63.701,19.253,0.0046537581447793,36823057.48473119,1.0443616874814077
EOH0923,HHP 4 kW,Time-of-use,mild,0.0,70.286,222.324,0.0023989604981844,93180511.56380372,5.623572912570257
EOH0930,HHP 4 kW,Time-of-use,mild,0.0,64.413,26.177,0.0045413459374716,42399505.71126524,1.0003089567534456e-06
EOH0934,HHP 4 kW,Time-of-use,mild,0.0,69.425,56.863,0.0035437561882592,97728592.30254713,7.345274306104192
EOH0937,HHP 4 kW,Time-of-use,mild,0.0,64.86,33.506,0.0043530687902096,33233098.87665505,0.6595623185632625
EOH0943,HHP 4 kW,Time-of-use,mild,0.0,31.334,0.0,0.0053044881017357,94943737.24221209,29.99999998624243
EOH0953,HHP 4 kW,Time-of-use,mild,0.0,54.56,0.0,0.0057569149195167,46055693.84411965,1.9605334878157616
EOH0957,HHP 4 kW,Time-of-use,mild,0.0,70.286,188.554,0.0026927467554408,74343604.92922807,1.0017738904875511e-06
EOH0958,HHP 4 kW,Time-of-use,mild,0.0,53.426,9.417,0.0045852622903475,27083003.366254307,13.669572486746896
EOH0975,HHP 4 kW,Time-of-use,mild,0.0,54.913,2.338,0.0059027845125015,23521544.19433994,1.0008855824510482e-06
EOH0979,HHP 4 kW,Time-of-use,mild,0.0,39.913,0.0,0.0057703035536677,76812356.54116093,15.52465491183836
EOH0988,HHP 4 kW,Time-of-use,mild,0.0,25.826,0.0,0.0109441956078382,18016842.14032427,3.060628477373301
EOH0991,HHP 4 kW,Time-of-use,mild,0.0,62.823,11.994,0.0047351736276096,29927971.18909051,2.90581128559598
EOH0999,HHP 4 kW,Time-of-use,mild,0.0,38.342,0.0,0.0079873712955314,41482013.74958771,2.256792692817922
EOH1000,HHP 4 kW,Time-of-use,mild,0.0,37.66,0.0,0.0079328660674775,19563210.592590854,3.2603100039894573
EOH1003,HHP 4 kW,Time-of-use,mild,0.0,55.448,0.0,0.0039329139090755,176784494.4343851,23.81413093499396
EOH1018,HHP 4 kW,Time-of-use,mild,0.0,51.591,0.613,0.0054193832248192,24548851.021194696,7.918345113949314
EOH1019,HHP 4 kW,Time-of-use,mild,0.0,49.245,0.0,0.006619488328533,39651079.18845556,1.0080660976442527e-06
EOH1041,HHP 4 kW,Time-of-use,mild,0.0,45.824,0.0,0.0060695370724749,25305111.49125204,7.233564752000948
EOH1042,HHP 4 kW,Time-of-use,mild,0.0,70.286,68.451,0.0030862495472677,138135644.46395507,16.638403963742572
EOH1045,HHP 4 kW,Time-of-use,mild,0.0,24.119,0.0,0.0060886304564681,111906715.88172376,29.99999998989183
EOH1046,HHP 4 kW,Time-of-use,mild,0.0,58.497,48.0,0.0044993090211865,20382617.69464573,1.0016981475169148e-06
EOH1048,HHP 4 kW,Time-of-use,mild,0.0,47.648,0.0,0.0059090466119031,59065285.13651024,6.8450770949550135
EOH1053,HHP 4 kW,Time-of-use,mild,0.0,70.286,167.353,0.0025443394578868,68157491.71771652,11.927389606583008
EOH1062,HHP 4 kW,Time-of-use,mild,0.0,44.776,0.052,0.0073029857786761,17349409.345989764,1.00069161414907e-06
EOH1070,HHP 4 kW,Time-of-use,mild,0.0,34.171,0.0,0.0094403343110381,26996250.531469647,1.2191497791633663
EOH1085,HHP 4 kW,Time-of-use,mild,0.0,69.109,69.985,0.0034882656564764,46408939.16901709,4.846204123720495
EOH1092,HHP 4 kW,Time-of-use,mild,0.0,50.765,0.0,0.0060893742584364,61954949.72785015,2.485182016325377
EOH1097,HHP 4 kW,Time-of-use,mild,0.0,46.77,2.813,0.0068652953013457,17338430.042506013,1.0005593993629706e-06
EOH1103,HHP 4 kW,Time-of-use,mild,0.0,62.638,31.771,0.0037639625621462,72892878.70789778,14.054040384394607
EOH1109,HHP 4 kW,Time-of-use,mild,0.0,64.17,23.9,0.0046095405333672,32231380.755113635,1.0003146642785415e-06
EOH1114,HHP 4 kW,Time-of-use,mild,0.0,66.511,44.935,0.0041316742081125,45974293.98481219,1.0001030196124948e-06
