ev_penetration,hhp_percentage,mhp_percentage,boiler_percentage,valid_mix,n_dwellings,n_ev_homes,n_hhp_homes,n_mhp_homes,n_boiler_homes,mc_runs_per_pixel,max_demand_mean_kw,max_demand_std_kw,max_demand_p50_kw,max_demand_p90_kw,max_demand_p95_kw,max_demand_max_kw,max_demand_min_kw
0.1,0.66,0.0,0.33999999999999997,True,147,15,97,0,50,500,174.6768798828125,5.674602031707764,174.4026336669922,181.63885650634765,184.49449615478517,198.19027709960938,160.88934326171875
0.1,0.66,0.02,0.31999999999999995,True,147,15,97,3,47,500,179.21058654785156,5.581631183624268,178.73252868652344,186.22095031738283,189.03826904296875,209.1769256591797,167.229248046875
0.1,0.66,0.04,0.3,True,147,15,97,6,44,500,184.81890869140625,5.621209144592285,184.57152557373047,192.3876983642578,194.43488998413085,205.67929077148438,170.6988983154297
0.1,0.66,0.06,0.27999999999999997,True,147,15,97,9,41,500,189.55184936523438,5.330599308013916,189.0642318725586,196.22445220947264,199.0837661743164,209.7941131591797,174.88865661621094
0.1,0.66,0.08,0.25999999999999995,True,147,15,97,12,38,500,195.26504516601562,5.7463788986206055,194.72235107421875,202.54132995605468,205.01827545166014,214.12693786621094,182.54776000976562
0.1,0.66,0.1,0.23999999999999996,True,147,15,97,15,35,500,200.82815551757812,5.587015151977539,200.7205352783203,208.24456481933595,210.09275665283204,221.36764526367188,185.87110900878906
0.1,0.66,0.12,0.21999999999999997,True,147,15,97,18,32,500,206.6212615966797,5.7038140296936035,206.15823364257812,213.54832763671874,216.30695953369138,230.0416259765625,188.27511596679688
0.1,0.66,0.14,0.19999999999999996,True,147,15,97,21,29,500,212.01199340820312,5.9822306632995605,211.6797866821289,219.54214782714843,222.52147216796874,243.02720642089844,191.71409606933594
0.1,0.66,0.16,0.17999999999999997,True,147,15,97,24,26,500,217.48580932617188,6.457486152648926,217.31500244140625,225.29546203613282,228.79956893920897,238.15969848632812,197.28509521484375
0.1,0.66,0.18,0.15999999999999998,True,147,15,97,26,24,500,221.3699951171875,6.019518852233887,221.02420806884766,229.02024688720704,231.69554443359374,250.11656188964844,206.7547149658203
0.1,0.66,0.2,0.13999999999999996,True,147,15,97,29,21,500,227.85317993164062,6.22206449508667,227.58338165283203,235.4843978881836,239.55491943359374,250.6254119873047,208.84100341796875
0.1,0.66,0.22,0.11999999999999997,True,147,15,97,32,18,500,233.57742309570312,6.204357624053955,233.14859008789062,242.70484771728516,245.01514358520507,253.2247772216797,216.8142852783203
0.1,0.66,0.24,0.09999999999999998,True,147,15,97,35,15,500,239.83447265625,6.622725009918213,239.69886016845703,248.36110076904296,251.63294830322266,264.61865234375,219.76974487304688
0.1,0.66,0.26,0.07999999999999996,True,147,15,97,38,12,500,245.7299346923828,6.577972888946533,245.50045776367188,254.5966323852539,256.88283081054686,268.0469970703125,228.81903076171875
0.1,0.66,0.28,0.05999999999999994,True,147,15,97,41,9,500,251.8846893310547,6.288534164428711,251.85841369628906,259.84869689941405,262.40819549560547,276.21337890625,232.2847900390625
0.1,0.66,0.3,0.03999999999999998,True,147,15,97,44,6,500,257.5458984375,6.272913932800293,257.1121826171875,266.08042602539064,268.8538024902344,276.65386962890625,241.2681884765625
0.1,0.66,0.32,0.019999999999999962,True,147,15,97,47,3,500,263.93133544921875,6.57333517074585,263.7172088623047,272.76612548828126,274.8098907470703,281.50390625,241.78489685058594
0.1,0.66,0.34,0.0,True,147,15,97,50,0,500,269.83111572265625,6.882953643798828,270.2516326904297,278.68109741210935,280.8539810180664,292.84051513671875,248.3166046142578
0.1,0.68,0.0,0.31999999999999995,True,147,15,100,0,47,500,177.88946533203125,5.674165725708008,177.40216064453125,185.67034912109375,188.79754180908202,196.65390014648438,163.1539306640625
0.1,0.68,0.02,0.29999999999999993,True,147,15,100,3,44,500,182.7797088623047,5.52683687210083,182.5116424560547,189.69015502929688,191.91819458007814,205.65463256835938,168.33062744140625
0.1,0.68,0.04,0.27999999999999997,True,147,15,100,6,41,500,187.5735626220703,5.420104503631592,187.45494842529297,194.61200408935548,196.63059310913084,204.03038024902344,173.24681091308594
0.1,0.68,0.06,0.25999999999999995,True,147,15,100,9,38,500,192.86656188964844,5.415116310119629,192.39495086669922,200.17528076171874,201.95820999145508,214.5484619140625,176.9036102294922
0.1,0.68,0.08,0.23999999999999994,True,147,15,100,12,35,500,198.3888397216797,5.753220081329346,198.1611557006836,205.87955017089843,208.65317611694334,222.68759155273438,184.4763946533203
0.1,0.68,0.1,0.21999999999999995,True,147,15,100,15,32,500,203.51573181152344,5.770716190338135,203.2193145751953,210.9240951538086,212.69281845092772,223.6603240966797,186.02955627441406
